OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025X,2025-04-06T18:20:12.094368,12.95904771,.0568229,99.2293,190.7496,58.9838,61.4387,0,U,29733,999,85881,.11705E-2,.666E-5,0
FENGYUN 1C DEB,1999-025Y,2025-04-06T09:14:14.011296,12.90340870,.0612591,99.1658,67.5752,225.4531,295.5191,0,U,29734,999,85318,.34765E-2,.2074E-4,0
FENGYUN 1C DEB,1999-025Z,2025-04-06T19:05:37.793184,12.74001192,.071129,99.3882,53.6231,8.7949,352.4877,0,U,29735,999,84231,.90094E-2,.5332E-4,0
FENGYUN 1C DEB,1999-025AA,2025-04-06T14:42:50.033376,12.57071621,.0730355,99.4316,323.7547,14.8212,43.2973,0,U,29736,999,83401,.24679E-2,.1101E-4,0
FENGYUN 1C DEB,1999-025AB,2025-04-05T23:10:10.071840,12.64951269,.0699987,99.5704,92.5522,321.3866,56.5984,0,U,29737,999,83702,.55615E-2,.267E-4,0
FENGYUN 1C DEB,1999-025AC,2025-04-06T13:45:21.672000,12.59848293,.0861301,99.4349,309.0877,116.3429,252.8677,0,U,29738,999,83065,.42529E-2,.31E-4,0
FENGYUN 1C DEB,1999-025AE,2025-04-06T17:44:14.572320,12.07867422,.0991113,99.0565,19.4329,336.4295,19.4154,0,U,29740,999,79916,.24912E-2,.973E-5,0
FENGYUN 1C DEB,1999-025AF,2025-04-06T14:20:05.508672,12.00334552,.1017225,99.1875,41.8702,194.3185,342.8997,0,U,29741,999,49181,.29969E-2,.1107E-4,0
FENGYUN 1C DEB,1999-025AN,2025-04-06T10:41:15.608256,11.84822009,.0798831,100.1298,89.0644,113.3820,255.3253,0,U,29748,999,75766,.81817E-1,.13166E-3,0
FENGYUN 1C DEB,1999-025AQ,2025-04-06T20:24:28.730592,14.09387066,.0034821,98.7794,132.4850,287.3568,247.4318,0,U,29750,999,93553,.47667E-3,.793E-5,0
FENGYUN 1C DEB,1999-025AR,2025-04-05T00:45:58.470336,14.23373281,.0090197,98.5670,129.7818,151.7078,242.4181,0,U,29751,999,94492,.33486E-3,.75E-5,0
FENGYUN 1C DEB,1999-025AU,2025-04-06T18:19:47.407296,14.17986101,.0036423,98.8732,199.2360,232.9787,285.6999,0,U,29754,999,93810,.17795E-2,.3623E-4,0
FENGYUN 1C DEB,1999-025AY,2025-04-06T06:26:09.835296,14.36639556,.0020506,98.8446,204.1849,331.8012,55.9937,0,U,29758,999,94070,.52551E-2,.1549E-3,0
FENGYUN 1C DEB,1999-025BA,2025-04-06T14:05:28.074336,14.08058012,.0131557,98.7620,105.9185,159.3887,201.2659,0,U,29760,999,93572,.41117E-3,.716E-5,0
FENGYUN 1C DEB,1999-025BC,2025-04-06T21:57:08.599968,14.22125339,.0205148,98.5576,86.4939,341.8269,79.7336,0,U,29762,999,94397,.92978E-3,.2506E-4,0
FENGYUN 1C DEB,1999-025BD,2025-04-06T21:42:59.878080,14.07630874,.0128123,98.7369,84.0434,165.1764,214.5823,0,U,29763,999,93535,.39645E-3,.68E-5,0
FENGYUN 1C DEB,1999-025BF,2025-04-06T08:25:02.913888,14.02071942,.0059172,98.8479,122.1116,70.8708,301.1513,0,U,29765,999,93242,.376E-3,.541E-5,0
FENGYUN 1C DEB,1999-025BG,2025-04-06T21:20:33.498240,13.95979165,.0146686,98.6660,60.7171,261.4755,154.6692,0,U,29766,999,92317,.20604E-2,.3047E-4,0
FENGYUN 1C DEB,1999-025BH,2025-04-06T21:53:06.167616,14.00593716,.034363,98.1836,90.3693,52.3203,8.1172,0,U,29767,999,92099,.60961E-2,.15148E-3,0
FENGYUN 1C DEB,1999-025BK,2025-04-06T20:39:54.278496,14.11962652,.0096604,99.1188,149.7574,113.1591,247.9793,0,U,29769,999,93153,.30305E-2,.5751E-4,0
FENGYUN 1C DEB,1999-025BL,2025-04-06T15:55:11.864928,14.18323275,.0063006,98.8546,172.4819,267.7527,248.9056,0,U,29770,999,93539,.26509E-2,.5529E-4,0
FENGYUN 1C DEB,1999-025BN,2025-04-06T09:23:19.260096,14.02318931,.0138079,98.4108,324.8184,277.6745,257.8380,0,U,29772,999,92745,.18465E-2,.3039E-4,0
FENGYUN 1C DEB,1999-025BP,2025-04-06T22:59:56.117760,14.26981060,.004656,98.9581,244.0165,292.9679,195.2141,0,U,29773,999,94634,.93352E-3,.225E-4,0
FENGYUN 1C DEB,1999-025BQ,2025-04-06T18:14:13.785792,14.22466202,.0051474,99.0544,30.0452,118.8038,271.8059,0,U,29774,999,94521,.36436E-3,.777E-5,0
FENGYUN 1C DEB,1999-025BS,2025-04-06T22:14:13.181280,14.07613664,.0022676,98.7956,130.4842,253.4950,227.7985,0,U,29776,999,93565,.22107E-3,.331E-5,0
FENGYUN 1C DEB,1999-025BT,2025-04-06T22:16:36.249312,13.91997520,.009358,99.3135,153.0200,164.4727,9.5341,0,U,29777,999,92565,.18314E-3,.197E-5,0
FENGYUN 1C DEB,1999-025BV,2025-04-06T19:53:45.190464,14.13158500,.0064064,98.6878,115.4168,156.6823,203.7278,0,U,29779,999,93882,.46863E-3,.851E-5,0
FENGYUN 1C DEB,1999-025BW,2025-04-06T16:52:24.180096,14.18938442,.0043848,99.2791,5.7103,117.1014,243.4643,0,U,29780,999,93530,.2618E-2,.5465E-4,0
FENGYUN 1C DEB,1999-025BX,2025-04-06T23:15:05.691168,14.04575268,.0073136,98.8007,98.4857,152.2752,263.9200,0,U,29781,999,93136,.90318E-3,.1436E-4,0
FENGYUN 1C DEB,1999-025BY,2025-04-06T15:18:58.593888,14.10356896,.0056993,99.1144,146.7600,183.2837,308.6182,0,U,29782,999,93144,.23497E-2,.4192E-4,0
FENGYUN 1C DEB,1999-025CA,2025-04-06T17:24:32.736096,14.29807734,.0059932,98.9472,8.6580,305.3609,108.3310,0,U,29784,999,94786,.10784E-2,.2779E-4,0
FENGYUN 1C DEB,1999-025CC,2025-04-06T23:04:25.150944,14.08904955,.0076804,98.7525,121.5293,288.8958,135.8594,0,U,29786,999,93643,.27368E-3,.443E-5,0
FENGYUN 1C DEB,1999-025CE,2025-04-06T23:08:37.808736,14.23819957,.0044887,98.7950,168.2499,190.4134,344.3141,0,U,29788,999,93798,.29371E-2,.6751E-4,0
FENGYUN 1C DEB,1999-025CF,2025-04-06T18:38:06.512928,13.53446031,.0299565,99.4596,290.2598,189.3422,308.4269,0,U,29789,999,89605,.37334E-2,.3292E-4,0
FENGYUN 1C DEB,1999-025CG,2025-04-06T22:20:46.722048,14.31684460,.0077012,99.1292,77.7464,180.8067,179.3003,0,U,29790,999,94950,.628E-3,.1682E-4,0
FENGYUN 1C DEB,1999-025CH,2025-04-06T21:30:47.741760,14.53969497,.0046335,99.0276,76.9728,96.5411,325.1768,0,U,29791,999,95210,.35703E-2,.15235E-3,0
FENGYUN 1C DEB,1999-025CJ,2025-04-06T19:43:50.034432,14.13891646,.0048955,98.7739,151.9377,29.7966,330.5979,0,U,29792,999,93406,.20546E-2,.3898E-4,0
FENGYUN 1C DEB,1999-025CK,2025-04-06T12:00:59.354208,14.00149088,.0142709,98.3697,296.3506,324.5819,63.9005,0,U,29793,999,92646,.18425E-2,.2929E-4,0
FENGYUN 1C DEB,1999-025CL,2025-04-06T10:37:40.211328,14.08255816,.0158777,98.1849,277.7701,39.0646,18.3561,0,U,29794,999,93324,.13393E-2,.2531E-4,0
FENGYUN 1C DEB,1999-025CM,2025-04-06T07:44:52.657152,13.92764391,.0111248,98.8344,236.5550,242.6782,146.2737,0,U,29795,999,92579,.45419E-3,.576E-5,0
FENGYUN 1C DEB,1999-025CN,2025-04-06T23:16:53.154624,14.11615241,.0052112,98.8864,151.3532,253.5413,228.6064,0,U,29796,999,93536,.13271E-2,.2399E-4,0
FENGYUN 1C DEB,1999-025CQ,2025-04-06T22:58:54.010848,13.98453475,.0114114,99.3076,157.0590,234.8752,301.5479,0,U,29798,999,92432,.23604E-2,.3526E-4,0
FENGYUN 1C DEB,1999-025CS,2025-04-06T14:43:24.557952,13.96945558,.0136394,98.3017,142.0898,209.5545,303.5265,0,U,29800,999,92082,.28904E-2,.4319E-4,0
